County,State,market_name
GLOUCESTER,VA,"Newport News-Hampton, VA"
HAMPTON (CITY),VA,"Newport News-Hampton, VA"
ISLE OF WIGHT,VA,"Newport News-Hampton, VA"
JAMES (CITY),VA,"Newport News-Hampton, VA"
MATHEWS,VA,"Newport News-Hampton, VA"
NEWPORT NEWS (CITY),VA,"Newport News-Hampton, VA"
POQUOSON (CITY),VA,"Newport News-Hampton, VA"
WILLIAMSBURG (CITY),VA,"Newport News-Hampton, VA"
YORK,VA,"Newport News-Hampton, VA"
CHESAPEAKE (CITY),VA,"Norfolk-Portsmouth, VA-NC"
CURRITUCK,NC,"Norfolk-Portsmouth, VA-NC"
GATES,NC,"Norfolk-Portsmouth, VA-NC"
NORFOLK (CITY),VA,"Norfolk-Portsmouth, VA-NC"
PORTSMOUTH (CITY),VA,"Norfolk-Portsmouth, VA-NC"
SUFFOLK (CITY),VA,"Norfolk-Portsmouth, VA-NC"
VIRGINIA BEACH (CITY),VA,"Norfolk-Portsmouth, VA-NC"
NORTHUMBERLAND *,VA,"Northumberland County, VA"
LEE *,VA,"Norton, VA"
NORTON (CITY),VA,"Norton, VA"
WISE,VA,"Norton, VA"
NOTTOWAY,VA,"Nottoway, VA"
GREENE,AR,"Paragould, AR"
FLOYD,VA,"Blacksburg, VA"
GILES,VA,"Blacksburg, VA"
MONTGOMERY *,VA,"Blacksburg, VA"
PULASKI,VA,"Blacksburg, VA"
RADFORD (CITY),VA,"Blacksburg, VA"
AMELIA,VA,"Richmond, VA"
CHARLES (CITY),VA,"Richmond, VA"
CHESTERFIELD,VA,"Richmond, VA"
COLONIAL HEIGHTS (CITY),VA,"Richmond, VA"
DINWIDDIE,VA,"Richmond, VA"
GOOCHLAND,VA,"Richmond, VA"
HANOVER,VA,"Richmond, VA"
HENRICO,VA,"Richmond, VA"
HOPEWELL (CITY),VA,"Richmond, VA"
KING AND QUEEN,VA,"Richmond, VA"
BEDFORD *,VA,"Roanoke, VA"
BOTETOURT,VA,"Roanoke, VA"
CRAIG,VA,"Roanoke, VA"
FRANKLIN,VA,"Roanoke, VA"
MONTGOMERY *,VA,"Roanoke, VA"
ROANOKE,VA,"Roanoke, VA"
ROANOKE (CITY),VA,"Roanoke, VA"
SALEM (CITY),VA,"Roanoke, VA"
RUSSELL,VA,"Russell County, VA"
BOONE,AR,"Harrison, AR"
MARION *,AR,"Harrison, AR"
NEWTON,AR,"Harrison, AR"
SEARCY,AR,"Harrison, AR"
SMYTH,VA,"Smyth County, VA"
HALIFAX,VA,"South Boston, VA"
AUGUSTA,VA,"Staunton, VA"
HIGHLAND,VA,"Staunton, VA"
STAUNTON (CITY),VA,"Staunton, VA"
WAYNESBORO (CITY),VA,"Staunton, VA"
SURRY,VA,"Surry, VA"
SUSSEX,VA,"Sussex, VA"
TAZEWELL *,VA,"Tazewell, VA"
CLARKE,VA,"Winchester, VA-WV"
FREDERICK,VA,"Winchester, VA-WV"
HAMPSHIRE,WV,"Winchester, VA-WV"
MORGAN *,WV,"Winchester, VA-WV"
SHENANDOAH,VA,"Winchester, VA-WV"
WINCHESTER (CITY),VA,"Winchester, VA-WV"
WYTHE,VA,"Wytheville, VA"
HEMPSTEAD *,AR,"Hope, AR"
NEVADA,AR,"Hope, AR"
IZARD,AR,"Melbourne, AR"
JACKSON,AR,"Newport, AR"
JOHNSON,AR,"Clarksville, AR"
CRAIGHEAD,AR,"Jonesboro, AR"
POINSETT,AR,"Jonesboro, AR"
LAWRENCE,AR,"Walnut Ridge, AR"
LEE,AR,"Marianna, AR"
LAFAYETTE,AR,"Lewisville, AR"
CONWAY,AR,"Little Rock, AR"
FAULKNER,AR,"Little Rock, AR"
GRANT,AR,"Little Rock, AR"
LONOKE,AR,"Little Rock, AR"
PERRY,AR,"Little Rock, AR"
PRAIRIE *,AR,"Little Rock, AR"
PULASKI,AR,"Little Rock, AR"
SALINE *,AR,"Little Rock, AR"
VAN BUREN *,AR,"Little Rock, AR"
WHITE *,AR,"Little Rock, AR"
LOGAN,AR,"Paris, AR"
COLUMBIA,AR,"Magnolia, AR"
MISSISSIPPI,AR,"Blytheville, AR-MO"
PEMISCOT *,MO,"Blytheville, AR-MO"
MONTGOMERY,AR,"Mount Ida, AR"
DREW *,AR,"Monticello, AR"
HEMPSTEAD *,AR,"Nashville, AR"
HOWARD,AR,"Nashville, AR"
PIKE *,AR,"Nashville, AR"
OUACHITA,AR,"Camden, AR"
PHILLIPS,AR,"West Helena, AR"
CLEVELAND,AR,"Pine Bluff, AR"
JEFFERSON,AR,"Pine Bluff, AR"
LINCOLN,AR,"Pine Bluff, AR"
RANDOLPH,AR,"Pocahontas, AR"
POLK,AR,"Mena, AR"
POPE,AR,"Russellville, AR"
YELL,AR,"Russellville, AR"
SCOTT *,AR,"Waldron, AR"
WHITE *,AR,"Searcy, AR"
SEVIER,AR,"De Queen, AR"
STONE,AR,"Mountain View, AR"
ARKANSAS,AR,"Stuttgart, AR"
PRAIRIE *,AR,"Stuttgart, AR"
BOWIE,TX,"Texarkana, TX-AR"
LITTLE RIVER,AR,"Texarkana, TX-AR"
MILLER,AR,"Texarkana, TX-AR"
UNION,AR,"El Dorado, AR"
VAN BUREN *,AR,"Clinton, AR"
WOODRUFF,AR,"Augusta, AR"
GRAYS HARBOR *,WA,"Aberdeen, WA"
WHATCOM *,WA,"Bellingham, WA"
KITSAP *,WA,"Bremerton, WA"
MASON *,WA,"Bremerton, WA"
DOUGLAS *,WA,"Brewster, WA"
OKANOGAN *,WA,"Brewster, WA"
LEWIS,WA,"Centralia, WA"
CHELAN *,WA,"Chelan, WA"
KITTITAS,WA,"Kittitas County, WA"
COLUMBIA *,OR,"Longview, WA-OR"
COWLITZ *,WA,"Longview, WA-OR"
SAN JUAN *,WA,"Lopez, WA"
ADAMS *,WA,"Moses Lake, WA"
GRANT *,WA,"Moses Lake, WA"
ISLAND *,WA,"Mount Vernon, WA"
SKAGIT,WA,"Mount Vernon, WA"
MASON *,WA,"Olympia, WA"
STEVENS *,WA,"Olympia, WA"
THURSTON,WA,"Olympia, WA"
OKANOGAN *,WA,"Omak-Okanogan, WA"
JEFFERSON,WA,"Port Townsend, WA"
BENTON *,WA,"Richland, WA"
FRANKLIN,WA,"Richland, WA"
WALLA WALLA *,WA,"Richland, WA"
ADAMS *,WA,"Ritzville, WA"
ISLAND *,WA,"Seattle-Tacoma, WA"
KING,WA,"Seattle-Tacoma, WA"
KITSAP *,WA,"Seattle-Tacoma, WA"
PIERCE,WA,"Seattle-Tacoma, WA"
SAN JUAN *,WA,"Seattle-Tacoma, WA"
SNOHOMISH,WA,"Seattle-Tacoma, WA"
KOOTENAI *,ID,"Spokane, WA-ID"
SPOKANE *,WA,"Spokane, WA-ID"
BENTON *,WA,"Sunnyside, WA"
YAKIMA *,WA,"Sunnyside, WA"
COLUMBIA,WA,"Walla Walla, WA-OR"
UMATILLA *,OR,"Walla Walla, WA-OR"
WALLA WALLA *,WA,"Walla Walla, WA-OR"
CHELAN *,WA,"Wenatchee, WA"
DOUGLAS *,WA,"Wenatchee, WA"
YAKIMA *,WA,"Yakima, WA"
FAYETTE *,WV,"Beckley, WV"
RALEIGH,WV,"Beckley, WV"
SUMMERS,WV,"Beckley, WV"
WYOMING,WV,"Beckley, WV"
MERCER,WV,"Bluefield, WV-VA"
TAZEWELL *,VA,"Bluefield, WV-VA"
BRAXTON,WV,"Braxton County, WV"
BOONE,WV,"Charleston, WV"
CLAY,WV,"Charleston, WV"
FAYETTE *,WV,"Charleston, WV"
JACKSON,WV,"Charleston, WV"
KANAWHA,WV,"Charleston, WV"
LINCOLN *,WV,"Charleston, WV"
PUTNAM,WV,"Charleston, WV"
ROANE *,WV,"Charleston, WV"
BARBOUR *,WV,"Clarksburg, WV"
DODDRIDGE,WV,"Clarksburg, WV"
HARRISON *,WV,"Clarksburg, WV"
TAYLOR,WV,"Clarksburg, WV"
GILMER,WV,"Gilmer County, WV"
GRANT,WV,"Grant County, WV"
GREENBRIER,WV,"Greenbrier County, WV"
MONROE *,WV,"Greenbrier County, WV"
HARDY,WV,"Hardy County, WV"
BOYD,KY,"Huntington, WV-KY-OH"
CABELL,WV,"Huntington, WV-KY-OH"
GREENUP *,KY,"Huntington, WV-KY-OH"
LAWRENCE,OH,"Huntington, WV-KY-OH"
LINCOLN *,WV,"Huntington, WV-KY-OH"
WAYNE,WV,"Huntington, WV-KY-OH"
LEWIS,WV,"Lewis County, WV"
BERKELEY,WV,"Martinsburg, WV"
MORGAN *,WV,"Martinsburg, WV"
GALLIA,OH,"Point Pleasant-Gallipolis, WV-OH"
MASON,WV,"Point Pleasant-Gallipolis, WV-OH"
MCDOWELL,WV,"McDowell County, WV"
LINCOLN *,WV,"Logan County-Mingo County, WV"
LOGAN,WV,"Logan County-Mingo County, WV"
MINGO,WV,"Logan County-Mingo County, WV"
FAYETTE *,PA,"Morgantown, WV-PA"
MARION,WV,"Morgantown, WV-PA"
MONONGALIA,WV,"Morgantown, WV-PA"
PRESTON,WV,"Morgantown, WV-PA"
NICHOLAS,WV,"Nicholas County, WV"
PLEASANTS,WV,"Parkersburg, WV-OH"
RITCHIE,WV,"Parkersburg, WV-OH"
WASHINGTON,OH,"Parkersburg, WV-OH"
WIRT,WV,"Parkersburg, WV-OH"
WOOD,WV,"Parkersburg, WV-OH"
POCAHONTAS,WV,"Pocahontas County, WV"
BARBOUR *,WV,"Randolph County, WV"
RANDOLPH,WV,"Randolph County, WV"
CALHOUN,WV,"Spencer, WV"
ROANE *,WV,"Spencer, WV"
TUCKER,WV,"Tucker County, WV"
UPSHUR,WV,"Upshur County, WV"
WEBSTER,WV,"Webster County, WV"
TYLER *,WV,"Wetzel County-Tyler County, WV"
WETZEL,WV,"Wetzel County-Tyler County, WV"
BELMONT,OH,"Wheeling, WV-OH"
MARSHALL,WV,"Wheeling, WV-OH"
MONROE *,WV,"Wheeling, WV-OH"
OHIO,WV,"Wheeling, WV-OH"
TYLER *,WV,"Wheeling, WV-OH"
ASHLAND,WI,"Ashland, WI"
BAYFIELD,WI,"Ashland, WI"
RUSK,WI,"Ladysmith, WI"
SAWYER *,WI,"Ladysmith, WI"
BURNETT,WI,"Saint Croix Falls, WI"
PIERCE *,WI,"Saint Croix Falls, WI"
POLK,WI,"Saint Croix Falls, WI"
SAINT CROIX *,WI,"Saint Croix Falls, WI"
BARRON,WI,"Rice Lake, WI"
SAWYER *,WI,"Rice Lake, WI"
WASHBURN,WI,"Rice Lake, WI"
BUFFALO *,WI,"Eau Claire, WI"
CHIPPEWA,WI,"Eau Claire, WI"
DUNN,WI,"Eau Claire, WI"
EAU CLAIRE,WI,"Eau Claire, WI"
JACKSON *,WI,"Eau Claire, WI"
PEPIN *,WI,"Eau Claire, WI"
TREMPEALEAU *,WI,"Eau Claire, WI"
HOUSTON,MN,"La Crosse, WI-MN"
JACKSON *,WI,"La Crosse, WI-MN"
LA CROSSE,WI,"La Crosse, WI-MN"
TREMPEALEAU *,WI,"La Crosse, WI-MN"
FOREST *,WI,"Rhinelander, WI"
LINCOLN *,WI,"Rhinelander, WI"
ONEIDA,WI,"Rhinelander, WI"
VILAS,WI,"Rhinelander, WI"
GOGEBIC,MI,"Ironwood-Hurley, MI-WI"
IRON,WI,"Ironwood-Hurley, MI-WI"
ONTONAGON,MI,"Ironwood-Hurley, MI-WI"
PRICE,WI,"Phillips, WI"
TAYLOR,WI,"Medford, WI"
ADAMS *,WI,"Adams-Friendship, WI"
CALUMET *,WI,"Appleton, WI"
OUTAGAMIE *,WI,"Appleton, WI"
WINNEBAGO *,WI,"Appleton, WI"
DANE *,WI,"Janesville-Beloit, WI"
JEFFERSON *,WI,"Janesville-Beloit, WI"
ROCK,WI,"Janesville-Beloit, WI"
CRAWFORD,WI,"Crawford County, WI"
LAFAYETTE *,WI,"Darlington, WI"
DODGE *,WI,"Fond du Lac, WI"
FOND DU LAC *,WI,"Fond du Lac, WI"
BROWN,WI,"Green Bay, WI"
KEWAUNEE,WI,"Green Bay, WI"
MANITOWOC *,WI,"Green Bay, WI"
OCONTO,WI,"Green Bay, WI"
OUTAGAMIE *,WI,"Green Bay, WI"
SHAWANO *,WI,"Green Bay, WI"
ADAMS *,WI,"Green Lake, WI"
GREEN LAKE,WI,"Green Lake, WI"
MARQUETTE,WI,"Green Lake, WI"
WAUSHARA *,WI,"Green Lake, WI"
GRANT,WI,"Lancaster, WI"
LANGLADE,WI,"Langlade County, WI"
COLUMBIA,WI,"Madison, WI"
DANE *,WI,"Madison, WI"
DODGE *,WI,"Madison, WI"
GREEN,WI,"Madison, WI"
IOWA,WI,"Madison, WI"
JEFFERSON *,WI,"Madison, WI"
LAFAYETTE *,WI,"Madison, WI"
SAUK,WI,"Madison, WI"
MANITOWOC *,WI,"Manitowoc-Two Rivers, WI"
JUNEAU,WI,"Mauston-New Lisbon, WI"
MONROE *,WI,"Mauston-New Lisbon, WI"
DODGE *,WI,"Milwaukee, WI"
FOND DU LAC *,WI,"Milwaukee, WI"
JEFFERSON *,WI,"Milwaukee, WI"
KENOSHA *,WI,"Milwaukee, WI"
MILWAUKEE,WI,"Milwaukee, WI"
OZAUKEE,WI,"Milwaukee, WI"
RACINE,WI,"Milwaukee, WI"
WALWORTH *,WI,"Milwaukee, WI"
WASHINGTON,WI,"Milwaukee, WI"
WAUKESHA,WI,"Milwaukee, WI"
CLARK,WI,"Neillsville, WI"
MARATHON *,WI,"Neillsville, WI"
WINNEBAGO *,WI,"Oshkosh, WI"
RICHLAND,WI,"Richland County, WI"
MENOMINEE,WI,"Shawano, WI"
SHAWANO *,WI,"Shawano, WI"
CALUMET *,WI,"Sheboygan, WI"
FOND DU LAC *,WI,"Sheboygan, WI"
MANITOWOC *,WI,"Sheboygan, WI"
SHEBOYGAN,WI,"Sheboygan, WI"
PORTAGE,WI,"Stevens Point, WI"
WAUSHARA *,WI,"Stevens Point, WI"
DOOR,WI,"Sturgeon Bay, WI"
VERNON,WI,"Viroqua, WI"
WALWORTH *,WI,"Walworth County, WI"
WAUPACA,WI,"Waupaca, WI"
LINCOLN *,WI,"Wausau, WI"
MARATHON *,WI,"Wausau, WI"
SHAWANO *,WI,"Wausau, WI"
MARATHON *,WI,"Wood County, WI"
WOOD,WI,"Wood County, WI"
MARINETTE *,WI,"Marinette, WI-MI"
MENOMINEE *,MI,"Marinette, WI-MI"
JACKSON *,WI,"Black River Falls, WI"
MONROE *,WI,"Black River Falls, WI"
LARAMIE,WY,"Cheyenne, WY"
CONVERSE *,WY,"Natrona County, WY"
NATRONA,WY,"Natrona County, WY"
BIG HORN *,WY,"Park County, WY"
PARK,WY,"Park County, WY"
KERN *,CA,"Bakersfield, CA"
SAN BERNARDINO *,CA,"Barstow, CA"
RIVERSIDE *,CA,"Blythe, CA"
LASSEN *,CA,"Burney, CA"
SHASTA *,CA,"Burney, CA"
KERN *,CA,"California City, CA"
BUTTE *,CA,"Chico, CA"
CURRY *,OR,"Crescent City, CA-OR"
DEL NORTE,CA,"Crescent City, CA-OR"
YOLO *,CA,"Davis, CA"
KERN *,CA,"Delano, CA"
IMPERIAL *,CA,"El Centro, CA"
HUMBOLDT *,CA,"Eureka-Arcata, CA"
SOLANO *,CA,"Fairfield-Vacaville, CA"
YOLO *,CA,"Fairfield-Vacaville, CA"
FRESNO *,CA,"Firebaugh-Mendota, CA"
FRESNO *,CA,"Fresno, CA"
MADERA,CA,"Fresno, CA"
TULARE *,CA,"Fresno, CA"
GLENN,CA,"Glenn County, CA"
NEVADA *,CA,"Grass Valley, CA"
FRESNO *,CA,"Hanford, CA"
KINGS,CA,"Hanford, CA"
RIVERSIDE *,CA,"Hemet, CA"
SAN BERNARDINO *,CA,"Victorville-Hesperia-Apple Valley, CA"
AMADOR,CA,"Jackson, CA"
CALAVERAS *,CA,"Jackson, CA"
EASTERN DISTRICT,AS,American Samoa not defined
MANU'A DISTRICT,AS,American Samoa not defined
WESTERN DISTRICT,AS,American Samoa not defined
LAKE,CA,"Lake County, CA"
SANTA BARBARA *,CA,"Lompoc, CA"
KERN *,CA,"Los Angeles, CA"
LOS ANGELES *,CA,"Los Angeles, CA"
ORANGE,CA,"Los Angeles, CA"
SAN BERNARDINO *,CA,"Los Angeles, CA"
VENTURA *,CA,"Los Angeles, CA"
MERCED *,CA,"Los Banos, CA"
MENDOCINO *,CA,"Mendocino Coast, CA"
MARIPOSA,CA,"Merced, CA"
MERCED *,CA,"Merced, CA"
MERCED *,CA,"Modesto, CA"
SAN JOAQUIN *,CA,"Modesto, CA"
STANISLAUS,CA,"Modesto, CA"
MONTEREY *,CA,"Monterey-Seaside-Marina, CA"
SISKIYOU *,CA,"Mount Shasta, CA"
NAPA *,CA,"Napa, CA"
BUTTE *,CA,"Oroville, CA"
RIVERSIDE *,CA,"Palm Springs-Cathedral City-Palm Desert, CA"
SAN BERNARDINO *,CA,"Palm Springs-Cathedral City-Palm Desert, CA"
TULARE *,CA,"Porterville, CA"
SHASTA *,CA,"Redding, CA"
RIVERSIDE *,CA,"Riverside-San Bernardino, CA"
SAN BERNARDINO *,CA,"Riverside-San Bernardino, CA"
EL DORADO *,CA,"Sacramento, CA"
NEVADA *,CA,"Sacramento, CA"
PLACER *,CA,"Sacramento, CA"
SACRAMENTO *,CA,"Sacramento, CA"
YOLO *,CA,"Sacramento, CA"
MONTEREY *,CA,"Salinas, CA"
SAN DIEGO *,CA,"San Diego, CA"
SAN LUIS OBISPO *,CA,"San Luis Obispo, CA"
SANTA BARBARA *,CA,"Santa Barbara, CA"
SANTA CRUZ *,CA,"Santa Cruz, CA"
SAN LUIS OBISPO *,CA,"Santa Maria, CA"
SANTA BARBARA *,CA,"Santa Maria, CA"
SONOMA *,CA,"Santa Rosa, CA"
SONOMA *,CA,"Sonoma, CA"
TUOLUMNE,CA,"Sonora, CA"
DOUGLAS *,NV,"South Lake Tahoe, CA-NV"
EL DORADO *,CA,"South Lake Tahoe, CA-NV"
SACRAMENTO *,CA,"Stockton, CA"
SAN JOAQUIN *,CA,"Stockton, CA"
LASSEN *,CA,"Susanville, CA"
PLUMAS *,CA,"Susanville, CA"
KERN *,CA,"Taft, CA"
TEHAMA,CA,"Tehama County, CA"
RIVERSIDE *,CA,"Temecula, CA"
SAN JOAQUIN *,CA,"Tracy, CA"
NEVADA *,CA,"Truckee-Tahoe, CA-NV"
PLACER *,CA,"Truckee-Tahoe, CA-NV"
WASHOE *,NV,"Truckee-Tahoe, CA-NV"
MENDOCINO *,CA,"Ukiah, CA"
TULARE *,CA,"Visalia, CA"
SANTA CRUZ *,CA,"Watsonville, CA"
TRINITY,CA,"Weaverville, CA"
YOLO *,CA,"Woodland, CA"
SISKIYOU *,CA,"Yreka, CA"
SUTTER,CA,"Yuba City-Marysville, CA"
YUBA *,CA,"Yuba City-Marysville, CA"
CHUUK,FM,Fed Sts of Micronesia Undefined
KOSRAE,FM,Fed Sts of Micronesia Undefined
POHNPEI,FM,Fed Sts of Micronesia Undefined
YAP,FM,Fed Sts of Micronesia Undefined
LOS ANGELES *,CA,"Oxnard-Thousand Oaks-Ventura, CA"
VENTURA *,CA,"Oxnard-Thousand Oaks-Ventura, CA"
GUAM,GU,"Guam, GU"
ALAMEDA,CA,"San Francisco-Oakland-San Jose, CA"
CONTRA COSTA,CA,"San Francisco-Oakland-San Jose, CA"
MARIN,CA,"San Francisco-Oakland-San Jose, CA"
NAPA *,CA,"San Francisco-Oakland-San Jose, CA"
SAN BENITO,CA,"San Francisco-Oakland-San Jose, CA"
SAN FRANCISCO,CA,"San Francisco-Oakland-San Jose, CA"
SAN MATEO,CA,"San Francisco-Oakland-San Jose, CA"
SANTA CLARA,CA,"San Francisco-Oakland-San Jose, CA"
SOLANO *,CA,"San Francisco-Oakland-San Jose, CA"
SONOMA *,CA,"San Francisco-Oakland-San Jose, CA"
AILINGINAE,MH,Marshall Islands Undefined
AILINGLAPLAP,MH,Marshall Islands Undefined
AILUK,MH,Marshall Islands Undefined
ARNO,MH,Marshall Islands Undefined
AUR,MH,Marshall Islands Undefined
BIKAR,MH,Marshall Islands Undefined
BIKINI,MH,Marshall Islands Undefined
BOKAK,MH,Marshall Islands Undefined
EBON,MH,Marshall Islands Undefined
ENEWETAK,MH,Marshall Islands Undefined
ERIKUB,MH,Marshall Islands Undefined
JABAT,MH,Marshall Islands Undefined
JALUIT,MH,Marshall Islands Undefined
JEMO,MH,Marshall Islands Undefined
KILI,MH,Marshall Islands Undefined
KWAJALEIN,MH,Marshall Islands Undefined
LAE,MH,Marshall Islands Undefined
LIB,MH,Marshall Islands Undefined
LIKIEP,MH,Marshall Islands Undefined
MAJURO,MH,Marshall Islands Undefined
MALOELAP,MH,Marshall Islands Undefined
MEJIT,MH,Marshall Islands Undefined
MILI,MH,Marshall Islands Undefined
NAMORIK,MH,Marshall Islands Undefined
NAMU,MH,Marshall Islands Undefined
RONGELAP,MH,Marshall Islands Undefined
RONGRIK,MH,Marshall Islands Undefined
TOKE,MH,Marshall Islands Undefined
UJAE,MH,Marshall Islands Undefined
UJELANG,MH,Marshall Islands Undefined
UTRIK,MH,Marshall Islands Undefined
WOTHO,MH,Marshall Islands Undefined
WOTJE,MH,Marshall Islands Undefined
SAIPAN MUNICIPALITY,MP,"Saipan, MP"
NORTHERN ISLANDS MUNICIPALITY,MP,N. Mariana Islands not defined
ROTA MUNICIPALITY,MP,N. Mariana Islands not defined
TINIAN MUNICIPALITY,MP,N. Mariana Islands not defined
KOROR,PW,Palau Undefined
ADJUNTAS,PR,"Ponce, PR"
COAMO,PR,"Ponce, PR"
GUANICA,PR,"Ponce, PR"
GUAYANILLA,PR,"Ponce, PR"
JUANA DIAZ,PR,"Ponce, PR"
PENUELAS,PR,"Ponce, PR"
PONCE,PR,"Ponce, PR"
SALINAS,PR,"Ponce, PR"
SANTA ISABEL,PR,"Ponce, PR"
VILLALBA,PR,"Ponce, PR"
AGUAS BUENAS,PR,"San Juan, PR"
AIBONITO,PR,"San Juan, PR"
ARECIBO,PR,"San Juan, PR"
BARCELONETA,PR,"San Juan, PR"
BARRANQUITAS,PR,"San Juan, PR"
BAYAMON,PR,"San Juan, PR"
CAGUAS,PR,"San Juan, PR"
CAMUY,PR,"San Juan, PR"
CANOVANAS,PR,"San Juan, PR"
CAROLINA,PR,"San Juan, PR"
CATANO,PR,"San Juan, PR"
CAYEY,PR,"San Juan, PR"
CEIBA,PR,"San Juan, PR"
CIALES,PR,"San Juan, PR"
CIDRA,PR,"San Juan, PR"
COMERIO,PR,"San Juan, PR"
COROZAL,PR,"San Juan, PR"
DORADO,PR,"San Juan, PR"
FAJARDO,PR,"San Juan, PR"
FLORIDA,PR,"San Juan, PR"
GUAYNABO,PR,"San Juan, PR"
GURABO,PR,"San Juan, PR"
HATILLO,PR,"San Juan, PR"
HUMACAO,PR,"San Juan, PR"
JUNCOS,PR,"San Juan, PR"
LARES,PR,"San Juan, PR"
LAS PIEDRAS,PR,"San Juan, PR"
LOIZA,PR,"San Juan, PR"
LUQUILLO,PR,"San Juan, PR"
MANATI,PR,"San Juan, PR"
AGUADA,PR,"Mayaguez-Aguadilla, PR"
AGUADILLA,PR,"Mayaguez-Aguadilla, PR"
ANASCO,PR,"Mayaguez-Aguadilla, PR"
CABO ROJO,PR,"Mayaguez-Aguadilla, PR"
HORMIGUEROS,PR,"Mayaguez-Aguadilla, PR"
ISABELA,PR,"Mayaguez-Aguadilla, PR"
LAJAS,PR,"Mayaguez-Aguadilla, PR"
LAS MARIAS,PR,"Mayaguez-Aguadilla, PR"
MARICAO,PR,"Mayaguez-Aguadilla, PR"
MAYAGUEZ,PR,"Mayaguez-Aguadilla, PR"
VIEQUES,PR,"Vieques, PR"
CULEBRA,PR,"Culebra, PR"
ARROYO,PR,"Guayama, PR"
GUAYAMA,PR,"Guayama, PR"
PATILLAS,PR,"Guayama, PR"
SAINT CROIX ISLAND,VI,"Saint Croix, VI"
SAINT JOHN ISLAND,VI,"Saint John, Saint Thomas, VI"
SAINT THOMAS ISLAND,VI,"Saint John, Saint Thomas, VI"
BURNET,TX,"Marble Falls, TX"
LLANO,TX,"Marble Falls, TX"
GEARY,KS,"Manhattan-Junction City, Kansas"
POTTAWATOMIE *,KS,"Manhattan-Junction City, Kansas"
RILEY,KS,"Manhattan-Junction City, Kansas"
WABAUNSEE *,KS,"Manhattan-Junction City, Kansas"
JACKSON,KS,"Topeka, Kansas"
JEFFERSON *,KS,"Topeka, Kansas"
OSAGE,KS,"Topeka, Kansas"
POTTAWATOMIE *,KS,"Topeka, Kansas"
SHAWNEE,KS,"Topeka, Kansas"
WABAUNSEE *,KS,"Topeka, Kansas"
JEFFERSON *,OK,"Duncan, OK"
STEPHENS,OK,"Duncan, OK"
GREER,OK,"Altus, OK"
HARMON,OK,"Altus, OK"
JACKSON,OK,"Altus, OK"
TILLMAN *,OK,"Altus, OK"
BUFFALO,NE,"Kearney, NE"
FRANKLIN,NE,"Kearney, NE"
HARLAN,NE,"Kearney, NE"
KEARNEY,NE,"Kearney, NE"
PHELPS,NE,"Kearney, NE"
SHERMAN,NE,"Kearney, NE"
CIMARRON,OK,"Guymon, OK-KS"
MORTON,KS,"Guymon, OK-KS"
TEXAS *,OK,"Guymon, OK-KS"
BELKNAP *,NH,"Alton, NH"
CHESHIRE *,NH,"Charlestown, NH"
SULLIVAN *,NH,"Charlestown, NH"
STRAFFORD,NH,"Dover-Durham, NH-ME"
YORK *,ME,"Dover-Durham, NH-ME"
EL PASO,CO,"Colorado Springs, CO"
TELLER,CO,"Colorado Springs, CO"
BELKNAP *,NH,"Franklin, NH"
MERRIMACK *,NH,"Franklin, NH"
HILLSBOROUGH *,NH,"Hillsborough, NH"
SULLIVAN *,NH,"Hillsborough, NH"
BELKNAP *,NH,"Meredith, NH"
CARROLL *,NH,"Meredith, NH"
MERRIMACK *,NH,"New London, NH"
SULLIVAN *,NH,"New London, NH"
CHESHIRE *,NH,"Peterborough, NH"
HILLSBOROUGH *,NH,"Peterborough, NH"
CARROLL *,NH,"Wolfeboro, NH"
MOTLEY,TX,"Matador, TX"
BRISCOE *,TX,"Childress, TX"
CHILDRESS,TX,"Childress, TX"
COTTLE,TX,"Childress, TX"
HALL,TX,"Childress, TX"
GILLESPIE,TX,"Fredericksburg, TX"
CASTRO *,TX,"Plainview, TX"
HALE *,TX,"Plainview, TX"
SWISHER *,TX,"Plainview, TX"
ADAMS,CO,"Denver-Boulder, CO"
ARAPAHOE,CO,"Denver-Boulder, CO"
BOULDER,CO,"Denver-Boulder, CO"
BROOMFIELD,CO,"Denver-Boulder, CO"
DENVER,CO,"Denver-Boulder, CO"
DOUGLAS *,CO,"Denver-Boulder, CO"
JEFFERSON,CO,"Denver-Boulder, CO"
WELD *,CO,"Denver-Boulder, CO"
GRAY,TX,"Pampa, TX"
ROBERTS,TX,"Pampa, TX"
WHEELER,TX,"Pampa, TX"
JEWELL,KS,"Beloit, KS"
MITCHELL,KS,"Beloit, KS"
OSBORNE,KS,"Beloit, KS"
COLLINGSWORTH,TX,"Wellington, TX"
WASHINGTON,TX,"Brenham, TX"
JAYUYA,PR,"Jayuya, PR"
BOURBON,KS,"Pittsburg, KS"
CHEROKEE *,KS,"Pittsburg, KS"
CRAWFORD,KS,"Pittsburg, KS"
LABETTE *,KS,"Parsons, KS"
NEOSHO *,KS,"Parsons, KS"
ALLEN,KS,"Iola-Chanute, KS"
NEOSHO *,KS,"Iola-Chanute, KS"
WOODSON,KS,"Iola-Chanute, KS"
SCURRY,TX,"Snyder, TX"
MCCURTAIN,OK,"Broken Bow, OK"
LARIMER,CO,"Fort Collins-Loveland, CO"
HASKELL *,OK,"McAlester, OK"
LATIMER,OK,"McAlester, OK"
PITTSBURG,OK,"McAlester, OK"
